id,mine_id,date,satellite_platform,ndvi,ndmi_moisture,lst_celsius,iron_oxide_ratio_b4_b2,clay_mineral_index_b11_b12,ferrous_iron_index,mn_mineralization_probability
253,8,2026-04-20,Sentinel-2 MSI,0.2537,0.121,42.6,1.963,1.654,0.934,0.697
254,8,2026-05-20,Landsat-8 OLI/TIRS,0.1796,0.1515,44.8,1.83,1.288,1.281,0.681
255,8,2026-06-19,Sentinel-2 MSI,0.3433,0.2529,35.0,1.816,1.406,1.268,0.611
256,8,2026-07-19,Landsat-8 OLI/TIRS,0.6338,0.5752,32.3,1.35,1.703,1.974,0.542
257,9,2024-01-01,Sentinel-2 MSI,0.3908,0.1988,37.5,2.49,1.28,1.491,0.695
258,9,2024-01-31,Landsat-8 OLI/TIRS,0.3043,0.2431,33.2,1.424,1.596,1.682,0.658
259,9,2024-03-01,Sentinel-2 MSI,0.1777,0.1,43.9,1.62,1.306,1.74,0.688
260,9,2024-03-31,Landsat-8 OLI/TIRS,0.1453,0.1315,45.6,1.94,1.193,1.863,0.713
261,9,2024-04-30,Sentinel-2 MSI,0.2395,0.1514,44.0,1.995,1.249,1.914,0.706
262,9,2024-05-30,Landsat-8 OLI/TIRS,0.1693,0.04,46.3,1.404,1.327,1.052,0.556
263,9,2024-06-29,Sentinel-2 MSI,0.3923,0.2494,34.8,1.672,1.54,1.741,0.639
264,9,2024-07-29,Landsat-8 OLI/TIRS,0.6406,0.5326,32.2,1.537,1.587,1.607,0.543
265,9,2024-08-28,Sentinel-2 MSI,0.6685,0.3995,31.6,1.449,1.498,1.461,0.51
266,9,2024-09-27,Landsat-8 OLI/TIRS,0.6134,0.4146,31.2,1.631,1.36,1.45,0.486
267,9,2024-10-27,Sentinel-2 MSI,0.423,0.292,31.7,1.39,1.341,1.307,0.487
268,9,2024-11-26,Landsat-8 OLI/TIRS,0.4703,0.211,37.0,1.725,1.185,1.528,0.531
269,9,2024-12-26,Sentinel-2 MSI,0.4538,0.2212,36.2,1.76,1.634,1.489,0.634
270,9,2025-01-25,Landsat-8 OLI/TIRS,0.3367,0.2814,30.0,1.784,1.361,1.298,0.622
271,9,2025-02-24,Sentinel-2 MSI,0.4537,0.2947,35.3,1.631,1.587,1.537,0.562
272,9,2025-03-26,Landsat-8 OLI/TIRS,0.2574,0.1065,42.5,1.335,1.858,1.606,0.67
273,9,2025-04-25,Sentinel-2 MSI,0.2672,0.0541,47.8,1.47,1.264,1.849,0.595
274,9,2025-05-25,Landsat-8 OLI/TIRS,0.2589,0.1415,44.9,1.924,1.0,1.309,0.63
275,9,2025-06-24,Sentinel-2 MSI,0.3533,0.3111,34.9,2.101,1.476,1.487,0.739
276,9,2025-07-24,Landsat-8 OLI/TIRS,0.5627,0.5558,27.1,1.34,1.56,1.346,0.482
277,9,2025-08-23,Sentinel-2 MSI,0.7046,0.3605,31.0,1.926,1.536,0.997,0.545
278,9,2025-09-22,Landsat-8 OLI/TIRS,0.5314,0.4707,32.5,2.225,1.264,1.551,0.679
279,9,2025-10-22,Sentinel-2 MSI,0.3092,0.2687,35.3,1.624,1.473,1.658,0.677
280,9,2025-11-21,Landsat-8 OLI/TIRS,0.3642,0.232,33.0,1.357,1.174,1.195,0.591
281,9,2025-12-21,Sentinel-2 MSI,0.4492,0.2557,31.3,1.418,1.165,1.437,0.533
282,9,2026-01-20,Landsat-8 OLI/TIRS,0.4248,0.2538,33.6,2.09,1.468,1.112,0.68
283,9,2026-02-19,Sentinel-2 MSI,0.3706,0.185,32.7,1.636,1.316,2.1,0.686
284,9,2026-03-21,Landsat-8 OLI/TIRS,0.257,0.139,46.9,1.413,1.766,1.311,0.688
285,9,2026-04-20,Sentinel-2 MSI,0.1351,0.08,46.1,1.665,1.227,1.365,0.595
286,9,2026-05-20,Landsat-8 OLI/TIRS,0.2098,0.0819,41.1,1.334,1.607,1.957,0.676
287,9,2026-06-19,Sentinel-2 MSI,0.4795,0.2888,32.4,0.982,1.712,1.303,0.529
288,9,2026-07-19,Landsat-8 OLI/TIRS,0.6002,0.4258,29.8,1.64,1.588,1.533,0.568
